Depth,-40.5,-39.5,-38.5,-37.5,-36.5,-35.5,-34.5,-33.5,-32.5,-31.5,-30.5,-29.5,-28.5,-27.5,-26.5,-25.5,-24.5,-23.5,-22.5,-21.5,-20.5,-19.5,-18.5,-17.5,-16.5,-15.5,-14.5,-13.5,-12.5,-11.5,-10.5,-9.5,-8.5,-7.5,-6.5,-5.5,-4.5,-3.5,-2.5,-1.5,-0.5,0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5
0.00E+00,2.57E-02,2.56E-02,2.55E-02,2.54E-02,2.54E-02,2.54E-02,2.54E-02,2.53E-02,2.52E-02,2.50E-02,2.49E-02,2.48E-02,2.47E-02,2.46E-02,2.44E-02,2.43E-02,2.42E-02,2.40E-02,2.38E-02,2.36E-02,2.34E-02,2.33E-02,2.32E-02,2.31E-02,2.31E-02,2.30E-02,2.29E-02,2.28E-02,2.27E-02,2.26E-02,2.26E-02,2.25E-02,2.25E-02,2.26E-02,2.26E-02,2.26E-02,2.27E-02,2.27E-02,2.28E-02,2.28E-02,2.28E-02,2.27E-02,2.26E-02,2.25E-02,2.24E-02,2.23E-02,2.22E-02,2.21E-02,2.21E-02,2.21E-02,2.21E-02,2.22E-02,2.23E-02,2.24E-02,2.25E-02,2.26E-02,2.27E-02,2.28E-02,2.28E-02,2.29E-02,2.30E-02,2.31E-02,2.32E-02,2.34E-02,2.35E-02,2.36E-02,2.38E-02,2.39E-02,2.40E-02,2.41E-02,2.43E-02,2.44E-02,2.44E-02,2.45E-02,2.46E-02,2.46E-02,2.47E-02,2.47E-02,2.48E-02,2.49E-02,2.49E-02,2.50E-02
10,2.57E-02,2.56E-02,2.56E-02,2.55E-02,2.55E-02,2.55E-02,2.54E-02,2.53E-02,2.51E-02,2.50E-02,2.49E-02,2.48E-02,2.47E-02,2.46E-02,2.45E-02,2.43E-02,2.42E-02,2.40E-02,2.38E-02,2.36E-02,2.35E-02,2.33E-02,2.32E-02,2.32E-02,2.31E-02,2.30E-02,2.30E-02,2.29E-02,2.28E-02,2.27E-02,2.26E-02,2.26E-02,2.26E-02,2.26E-02,2.26E-02,2.27E-02,2.27E-02,2.28E-02,2.29E-02,2.29E-02,2.29E-02,2.28E-02,2.27E-02,2.26E-02,2.25E-02,2.24E-02,2.23E-02,2.22E-02,2.21E-02,2.22E-02,2.22E-02,2.23E-02,2.24E-02,2.25E-02,2.25E-02,2.26E-02,2.27E-02,2.28E-02,2.29E-02,2.30E-02,2.31E-02,2.32E-02,2.33E-02,2.34E-02,2.36E-02,2.37E-02,2.38E-02,2.39E-02,2.40E-02,2.41E-02,2.42E-02,2.43E-02,2.44E-02,2.45E-02,2.45E-02,2.46E-02,2.46E-02,2.47E-02,2.47E-02,2.48E-02,2.49E-02,2.49E-02
20,2.59E-02,2.58E-02,2.58E-02,2.57E-02,2.57E-02,2.56E-02,2.56E-02,2.54E-02,2.53E-02,2.51E-02,2.50E-02,2.49E-02,2.48E-02,2.47E-02,2.45E-02,2.44E-02,2.43E-02,2.41E-02,2.39E-02,2.37E-02,2.35E-02,2.34E-02,2.33E-02,2.32E-02,2.32E-02,2.31E-02,2.30E-02,2.29E-02,2.28E-02,2.27E-02,2.27E-02,2.27E-02,2.26E-02,2.27E-02,2.27E-02,2.27E-02,2.28E-02,2.29E-02,2.29E-02,2.29E-02,2.29E-02,2.29E-02,2.28E-02,2.27E-02,2.26E-02,2.25E-02,2.23E-02,2.22E-02,2.22E-02,2.22E-02,2.23E-02,2.23E-02,2.24E-02,2.25E-02,2.26E-02,2.27E-02,2.28E-02,2.29E-02,2.30E-02,2.30E-02,2.31E-02,2.32E-02,2.33E-02,2.35E-02,2.36E-02,2.37E-02,2.39E-02,2.40E-02,2.41E-02,2.42E-02,2.43E-02,2.44E-02,2.45E-02,2.46E-02,2.46E-02,2.47E-02,2.48E-02,2.48E-02,2.49E-02,2.50E-02,2.50E-02,2.51E-02
30,2.60E-02,2.59E-02,2.59E-02,2.58E-02,2.58E-02,2.57E-02,2.56E-02,2.55E-02,2.54E-02,2.52E-02,2.51E-02,2.50E-02,2.49E-02,2.48E-02,2.46E-02,2.45E-02,2.43E-02,2.41E-02,2.40E-02,2.38E-02,2.36E-02,2.35E-02,2.34E-02,2.33E-02,2.32E-02,2.32E-02,2.31E-02,2.30E-02,2.29E-02,2.28E-02,2.27E-02,2.27E-02,2.27E-02,2.27E-02,2.27E-02,2.28E-02,2.28E-02,2.29E-02,2.30E-02,2.30E-02,2.30E-02,2.29E-02,2.28E-02,2.27E-02,2.26E-02,2.25E-02,2.24E-02,2.23E-02,2.23E-02,2.23E-02,2.24E-02,2.24E-02,2.25E-02,2.26E-02,2.27E-02,2.28E-02,2.28E-02,2.29E-02,2.30E-02,2.31E-02,2.32E-02,2.33E-02,2.34E-02,2.35E-02,2.37E-02,2.38E-02,2.40E-02,2.41E-02,2.42E-02,2.43E-02,2.44E-02,2.45E-02,2.46E-02,2.47E-02,2.48E-02,2.49E-02,2.50E-02,2.51E-02,2.52E-02,2.52E-02,2.53E-02,2.53E-02
50,2.62E-02,2.62E-02,2.61E-02,2.61E-02,2.61E-02,2.60E-02,2.59E-02,2.58E-02,2.57E-02,2.55E-02,2.54E-02,2.53E-02,2.52E-02,2.51E-02,2.50E-02,2.48E-02,2.46E-02,2.44E-02,2.42E-02,2.40E-02,2.39E-02,2.37E-02,2.36E-02,2.35E-02,2.35E-02,2.34E-02,2.33E-02,2.32E-02,2.31E-02,2.30E-02,2.29E-02,2.29E-02,2.28E-02,2.28E-02,2.28E-02,2.29E-02,2.30E-02,2.30E-02,2.31E-02,2.31E-02,2.31E-02,2.31E-02,2.30E-02,2.29E-02,2.28E-02,2.26E-02,2.25E-02,2.25E-02,2.25E-02,2.26E-02,2.27E-02,2.28E-02,2.28E-02,2.28E-02,2.29E-02,2.29E-02,2.30E-02,2.31E-02,2.32E-02,2.33E-02,2.34E-02,2.35E-02,2.36E-02,2.38E-02,2.39E-02,2.41E-02,2.42E-02,2.44E-02,2.45E-02,2.47E-02,2.48E-02,2.50E-02,2.51E-02,2.52E-02,2.53E-02,2.54E-02,2.55E-02,2.56E-02,2.57E-02,2.57E-02,2.58E-02,2.59E-02
75,2.67E-02,2.66E-02,2.66E-02,2.65E-02,2.65E-02,2.64E-02,2.63E-02,2.62E-02,2.61E-02,2.60E-02,2.59E-02,2.58E-02,2.57E-02,2.56E-02,2.54E-02,2.52E-02,2.50E-02,2.48E-02,2.46E-02,2.44E-02,2.42E-02,2.41E-02,2.40E-02,2.39E-02,2.39E-02,2.38E-02,2.37E-02,2.37E-02,2.35E-02,2.34E-02,2.33E-02,2.32E-02,2.31E-02,2.30E-02,2.30E-02,2.31E-02,2.32E-02,2.33E-02,2.33E-02,2.33E-02,2.33E-02,2.33E-02,2.32E-02,2.31E-02,2.30E-02,2.29E-02,2.29E-02,2.30E-02,2.32E-02,2.35E-02,2.36E-02,2.36E-02,2.36E-02,2.35E-02,2.34E-02,2.34E-02,2.34E-02,2.34E-02,2.35E-02,2.36E-02,2.37E-02,2.39E-02,2.40E-02,2.42E-02,2.43E-02,2.45E-02,2.47E-02,2.48E-02,2.50E-02,2.51E-02,2.53E-02,2.54E-02,2.55E-02,2.56E-02,2.57E-02,2.58E-02,2.59E-02,2.60E-02,2.61E-02,2.61E-02,2.62E-02,2.62E-02
100,2.70E-02,2.69E-02,2.69E-02,2.68E-02,2.68E-02,2.67E-02,2.66E-02,2.65E-02,2.64E-02,2.63E-02,2.62E-02,2.61E-02,2.60E-02,2.58E-02,2.57E-02,2.55E-02,2.53E-02,2.51E-02,2.49E-02,2.47E-02,2.46E-02,2.45E-02,2.44E-02,2.43E-02,2.43E-02,2.42E-02,2.41E-02,2.41E-02,2.40E-02,2.39E-02,2.38E-02,2.36E-02,2.35E-02,2.34E-02,2.33E-02,2.34E-02,2.35E-02,2.36E-02,2.37E-02,2.37E-02,2.37E-02,2.37E-02,2.37E-02,2.35E-02,2.35E-02,2.35E-02,2.37E-02,2.41E-02,2.45E-02,2.48E-02,2.50E-02,2.49E-02,2.47E-02,2.45E-02,2.44E-02,2.42E-02,2.41E-02,2.40E-02,2.40E-02,2.41E-02,2.42E-02,2.43E-02,2.45E-02,2.46E-02,2.47E-02,2.49E-02,2.51E-02,2.52E-02,2.54E-02,2.55E-02,2.56E-02,2.57E-02,2.58E-02,2.59E-02,2.60E-02,2.60E-02,2.61E-02,2.62E-02,2.63E-02,2.64E-02,2.64E-02,2.65E-02
125,2.72E-02,2.71E-02,2.71E-02,2.70E-02,2.70E-02,2.69E-02,2.68E-02,2.67E-02,2.66E-02,2.65E-02,2.64E-02,2.63E-02,2.62E-02,2.61E-02,2.59E-02,2.58E-02,2.56E-02,2.54E-02,2.52E-02,2.51E-02,2.49E-02,2.48E-02,2.47E-02,2.47E-02,2.46E-02,2.46E-02,2.46E-02,2.46E-02,2.45E-02,2.45E-02,2.44E-02,2.43E-02,2.41E-02,2.40E-02,2.39E-02,2.39E-02,2.41E-02,2.42E-02,2.43E-02,2.44E-02,2.45E-02,2.45E-02,2.44E-02,2.43E-02,2.42E-02,2.44E-02,2.47E-02,2.52E-02,2.56E-02,2.59E-02,2.60E-02,2.59E-02,2.57E-02,2.55E-02,2.53E-02,2.50E-02,2.48E-02,2.47E-02,2.46E-02,2.46E-02,2.47E-02,2.48E-02,2.49E-02,2.50E-02,2.51E-02,2.52E-02,2.54E-02,2.55E-02,2.56E-02,2.57E-02,2.59E-02,2.60E-02,2.61E-02,2.61E-02,2.62E-02,2.63E-02,2.64E-02,2.65E-02,2.65E-02,2.66E-02,2.66E-02,2.67E-02
150,2.74E-02,2.73E-02,2.73E-02,2.72E-02,2.72E-02,2.71E-02,2.70E-02,2.69E-02,2.68E-02,2.67E-02,2.66E-02,2.65E-02,2.64E-02,2.63E-02,2.62E-02,2.61E-02,2.59E-02,2.57E-02,2.56E-02,2.54E-02,2.53E-02,2.52E-02,2.51E-02,2.51E-02,2.50E-02,2.50E-02,2.50E-02,2.50E-02,2.50E-02,2.50E-02,2.50E-02,2.49E-02,2.49E-02,2.48E-02,2.47E-02,2.48E-02,2.49E-02,2.51E-02,2.53E-02,2.54E-02,2.55E-02,2.55E-02,2.54E-02,2.53E-02,2.53E-02,2.55E-02,2.58E-02,2.62E-02,2.65E-02,2.66E-02,2.67E-02,2.65E-02,2.63E-02,2.61E-02,2.59E-02,2.56E-02,2.54E-02,2.53E-02,2.52E-02,2.51E-02,2.52E-02,2.52E-02,2.53E-02,2.54E-02,2.55E-02,2.56E-02,2.57E-02,2.58E-02,2.59E-02,2.60E-02,2.61E-02,2.62E-02,2.63E-02,2.64E-02,2.64E-02,2.65E-02,2.66E-02,2.67E-02,2.67E-02,2.68E-02,2.68E-02,2.69E-02
