dt,ENT,FC,TC,ENT1,FC1,TC1,logENT,logFC,logTC,logENT1,logFC1,logTC1,wtemp,atemp,rad,wspd,wspd_coops,wdir_coops,awind_coops,owind_coops,tide,relhum,wvht,dpd,mwd,mwd_b,apd,pres,rad_1h,rad_2h,rad_3h,rad_4h,lograd_1h
4/20/13 11:30,10,10,95.5,,,,1,1,1.98,,,,13.8,13.65,464,4.327,6.5,338,-5.983281547,2.539752335,1.365678,78.9,0.95,9.09,339,294,6.09,1018,444.1,392.8,317.8,229.8,2.647480773
4/20/13 11:40,5.01,19.95,52.48,10,10,95.5,0.7,1.3,1.72,1,1,1.98,13.9,13.62,465.3,4.36,6.9,335,-6.483879083,2.359938989,1.259711,78.2,0.95,9.09,339,294,6.09,1018,449.3,403.4,332.4,230.1,2.652536419
4/20/13 11:50,5.01,5.01,97.72,5.01,19.95,52.48,0.7,0.7,1.99,0.7,1.3,1.72,13.9,13.68,464.4,4.661,6.4,335,-6.014032773,2.188928917,1.160196,76.8,0.95,9.09,339,294,6.09,1018,454.6,414.6,344.5,249.9,2.657629431
4/20/13 12:00,5.01,10,144.54,5.01,5.01,97.72,0.7,1,2.16,0.7,0.7,1.99,14,13.64,462.1,5.196,6.5,343,-5.739159354,3.051565158,1.067812,76.4,1,8.33,336,291,6.32,1018,459.3,424.2,357,269.6,2.662096445
4/20/13 12:10,5.01,5.01,120.23,5.01,10,144.54,0.7,0.7,2.08,0.7,1,2.16,14,13.67,459.9,5.45,6.8,338,-6.259433003,2.656971674,0.983193,75.8,1,8.33,336,291,6.32,1018,462.3,431.8,369.3,286.8,2.664923893
4/20/13 12:20,5.01,10,40.74,5.01,5.01,120.23,0.7,1,1.61,0.7,0.7,2.08,14,13.52,457.2,5.546,6.7,335,-6.295940559,2.29153496,0.906925,75.5,1,8.33,336,291,6.32,1018,463.8,438.6,381.2,301.3,2.666330744
4/20/13 12:30,5.01,5.01,30.9,5.01,10,40.74,0.7,0.7,1.49,0.7,1,1.61,14,13.49,453.3,5.412,5.6,313,-5.596588631,-0.195437182,0.839544,75.6,0.91,8.33,335,290,5.95,1018,464,444.1,392.8,317.8,2.666517981
4/20/13 12:40,10,30.9,75.86,5.01,5.01,30.9,1,1.49,1.88,0.7,0.7,1.49,14,13.34,448.4,5.737,6,314,-5.999086171,-0.104714439,0.781531,75.5,0.91,8.33,335,290,5.95,1018,465.3,449.3,403.4,332.4,2.667733053
4/20/13 12:50,5.01,5.01,19.95,10,30.9,75.86,0.7,0.7,1.3,1,1.49,1.88,14,13.41,443.8,5.52,6.3,306,-6.222436546,-0.98553713,0.733307,75.6,0.91,8.33,335,290,5.95,1018,464.4,454.6,414.6,344.5,2.666892211
4/20/13 13:00,5.01,10,19.95,5.01,5.01,19.95,0.7,1,1.3,0.7,0.7,1.3,14,13.38,438.4,5.446,6.3,310,-6.276026598,-0.549081179,0.695231,75.6,0.98,9.09,339,294,5.75,1018,462.1,459.3,424.2,357,2.664735969
4/20/13 13:10,5.01,40.74,63.1,5.01,10,19.95,0.7,1.61,1.8,0.7,1,1.3,14,13.42,431.7,5.014,7.4,312,-7.389858557,-0.387286076,0.667595,75.7,0.98,9.09,339,294,5.75,1018,459.9,462.3,431.8,369.3,2.66266341
4/20/13 13:20,5.01,10,10,5.01,40.74,63.1,0.7,1,1,0.7,1.61,1.8,14,13.45,424.1,4.927,7.2,308,-7.146332292,-0.877459273,0.650627,75.1,0.98,9.09,339,294,5.75,1018,457.2,463.8,438.6,381.2,2.660106222
4/20/13 13:30,5.01,5.01,10,5.01,10,10,0.7,0.7,1,0.7,1,1,14,13.38,415.9,4.327,6.7,307,-6.634796061,-0.932459776,0.644485,75.2,0.96,8.33,334,289,5.49,1018,453.3,464,444.1,392.8,2.656385719
4/20/13 13:40,5.01,5.01,10,5.01,5.01,10,0.7,0.7,1,0.7,0.7,1,14.1,13.31,407,4.708,4.9,294,-4.57454409,-1.756002953,0.649254,75.1,0.96,8.33,334,289,5.49,1018,448.4,465.3,449.3,403.4,2.651665604
4/20/13 13:50,5.01,10,10,5.01,5.01,10,0.7,1,1,0.7,0.7,1,14.1,13.19,397.6,4.647,4.5,297,-4.279754323,-1.390576475,0.664951,75.3,0.96,8.33,334,289,5.49,1018,443.8,464.4,454.6,414.6,2.647187298
4/20/13 14:00,5.01,5.01,5.01,5.01,10,10,0.7,0.7,0.7,0.7,1,1,14.1,13.22,388,4.476,6,296,-5.673111454,-1.953408927,0.69152,75.3,0.98,9.09,336,291,5.44,1018,438.4,462.1,459.3,424.2,2.641870545
4/20/13 14:10,10,10,10,5.01,5.01,5.01,1,1,1,0.7,0.7,0.7,14.1,13.32,377.4,3.946,5.5,291,-5.024500017,-2.237051537,0.728832,75.2,0.98,9.09,336,291,5.44,1018,431.7,459.9,462.3,431.8,2.635182049
4/20/13 14:20,10,5.01,10,10,10,10,1,0.7,1,1,1,1,14.1,13.29,365.5,4.446,6.8,297,-6.467184311,-2.101315562,0.776689,74.4,0.98,9.09,336,291,5.44,1017,424.1,457.2,463.8,438.6,2.627468272
4/20/13 14:30,5.01,5.01,10,10,5.01,10,0.7,0.7,1,1,0.7,1,14.1,13.51,353.2,4.215,5.2,308,-5.161239989,-0.633720586,0.834823,73.3,1.14,8.33,334,289,5.58,1017,415.9,453.3,464,444.1,2.61898892
4/20/13 14:40,5.01,5.01,10,5.01,5.01,10,0.7,0.7,1,0.7,0.7,1,14.1,13.62,341.2,3.781,3.6,298,-3.442697121,-1.052538137,0.902897,72.9,1.14,8.33,334,289,5.58,1017,407,448.4,465.3,449.3,2.609594409
4/20/13 14:50,5.01,10,30.9,5.01,5.01,10,0.7,1,1.49,0.7,0.7,1,14.1,13.71,327.4,3.422,3.3,296,-3.120211299,-1.07437491,0.980508,72.4,1.14,8.33,334,289,5.58,1017,397.6,443.8,464.4,454.6,2.599446376
4/20/13 15:00,10,5.01,5.01,5.01,10,30.9,1,0.7,0.7,0.7,1,1.49,14.1,13.66,314.1,3.644,2.8,285,-2.424871131,-1.4,1.06719,72.3,1.08,9.09,336,291,5.27,1017,388,438.4,462.1,459.3,2.588831726
4/20/13 15:10,5.01,5.01,10,10,5.01,5.01,0.7,0.7,1,1,0.7,0.7,14.1,13.8,303.7,3.278,3,292,-2.76151456,-1.172193385,1.162417,72.2,1.08,9.09,336,291,5.27,1017,377.4,431.7,459.9,462.3,2.576801896
4/20/13 15:20,10,19.95,19.95,5.01,5.01,10,1,1.3,1.3,0.7,0.7,1,14.2,13.54,288.8,3.671,2.9,293,-2.688833178,-1.086359121,1.265604,73.1,1.08,9.09,336,291,5.27,1017,365.5,424.1,457.2,463.8,2.562887381
4/20/13 15:30,5.01,30.9,30.9,10,19.95,19.95,0.7,1.49,1.49,1,1.3,1.3,14.2,13.27,273.7,4.229,4.1,295,-3.852739745,-1.402282588,1.376116,73.7,1.08,6.25,327,282,5.18,1017,353.2,415.9,453.3,464,2.548020695
4/20/13 15:40,5.01,169.82,281.84,5.01,30.9,30.9,0.7,2.23,2.45,0.7,1.49,1.49,14.2,13.14,257.1,4.508,4.1,291,-3.745536376,-1.667620237,1.493265,74.8,1.08,6.25,327,282,5.18,1017,341.2,407,448.4,465.3,2.533009022
